REF_DATE,GEO,DGUID,Type of dwelling,Energy type,Energy consumption,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2019,Quebec,2016A000224,Single-detached,Electricity,Gigajoules,Gigajoules,143,units,0,v105819218,6.1.2.1,146710389
2019,Quebec,2016A000224,Single-detached,Electricity,Gigajoules per household,Gigajoules,143,units,0,v105819219,6.1.2.2,81.3
2019,Quebec,2016A000224,Double,Electricity,Gigajoules,Gigajoules,143,units,0,v105819234,6.2.2.1,13595978
2019,Quebec,2016A000224,Double,Electricity,Gigajoules per household,Gigajoules,143,units,0,v105819235,6.2.2.2,66.7
2019,Quebec,2016A000224,Row or terrace,Electricity,Gigajoules,Gigajoules,143,units,0,v105819250,6.3.2.1,8993059
2019,Quebec,2016A000224,Row or terrace,Electricity,Gigajoules per household,Gigajoules,143,units,0,v105819251,6.3.2.2,61.8
2019,Quebec,2016A000224,Duplex,Electricity,Gigajoules,Gigajoules,143,units,0,v105819266,6.4.2.1,17165582
2019,Quebec,2016A000224,Duplex,Electricity,Gigajoules per household,Gigajoules,143,units,0,v105819267,6.4.2.2,59.5
2019,Quebec,2016A000224,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules,Gigajoules,143,units,0,v105819282,6.5.2.1,31102374
2019,Quebec,2016A000224,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules per household,Gigajoules,143,units,0,v105819283,6.5.2.2,36.6
2019,Quebec,2016A000224,High-rise apartment (5 stories or more),Electricity,Gigajoules,Gigajoules,143,units,0,v105819298,6.6.2.1,8831708
2019,Quebec,2016A000224,High-rise apartment (5 stories or more),Electricity,Gigajoules per household,Gigajoules,143,units,0,v105819299,6.6.2.2,40.1
2019,Quebec,2016A000224,Mobile home,Electricity,Gigajoules,Gigajoules,143,units,0,v105819314,6.7.2.1,
2019,Quebec,2016A000224,Mobile home,Electricity,Gigajoules per household,Gigajoules,143,units,0,v105819315,6.7.2.2,67.4